page_key,split,writer_id,page_id,ocr_model,input_kind,detected_error_count,flagged_region_count,flagged_region_rate,rejected_detection_count,missing_or_error_words,missing_word_rate,input_tokens,output_tokens,total_tokens
test_9_13,test,9,13,surya,processed,5,5,0.38461538461538464,0,11,0.4583333333333333,660,298,958
test_9_53,test,9,53,surya,processed,10,10,0.5555555555555556,0,6,0.25,653,494,1147
test_9_65,test,9,65,surya,processed,6,6,0.42857142857142855,0,12,0.46153846153846156,658,226,884
test_9_91,test,9,91,surya,processed,5,5,0.38461538461538464,0,13,0.5,694,258,952
test_9_166,test,9,166,surya,processed,9,9,0.6,0,10,0.4,666,419,1085
test_9_249,test,9,249,surya,processed,4,4,0.4444444444444444,0,15,0.625,637,213,850
test_9_252,test,9,252,surya,processed,5,5,0.38461538461538464,0,12,0.48,667,352,1019
test_9_393,test,9,393,surya,processed,5,5,0.38461538461538464,0,11,0.4583333333333333,637,287,924
test_12_48,test,12,48,surya,processed,3,3,0.3333333333333333,1,15,0.625,643,215,858
test_12_70,test,12,70,surya,processed,7,7,0.5833333333333334,0,13,0.52,633,362,995
test_12_113,test,12,113,surya,processed,9,9,0.6923076923076923,0,12,0.48,654,345,999
test_12_125,test,12,125,surya,processed,7,7,0.5,0,9,0.391304347826087,637,300,937
test_12_131,test,12,131,surya,processed,6,6,0.6,0,15,0.6,660,337,997
test_12_165,test,12,165,surya,processed,9,9,0.75,0,8,0.4,638,422,1060
test_12_191,test,12,191,surya,processed,6,6,0.6,0,16,0.6153846153846154,660,351,1011
test_12_195,test,12,195,surya,processed,9,9,0.5294117647058824,0,7,0.2916666666666667,667,507,1174
test_13_2,test,13,2,surya,processed,6,6,0.5454545454545454,0,15,0.5769230769230769,660,312,972
test_13_7,test,13,7,surya,processed,3,3,0.3333333333333333,0,13,0.5909090909090909,631,143,774
test_13_9,test,13,9,surya,processed,4,4,0.36363636363636365,0,12,0.5217391304347826,645,228,873
test_13_12,test,13,12,surya,processed,1,1,0.125,0,15,0.6521739130434783,625,70,695
test_13_13,test,13,13,surya,processed,3,3,0.75,0,20,0.8333333333333334,635,174,809
test_13_23,test,13,23,surya,processed,4,4,0.36363636363636365,0,12,0.5217391304347826,645,218,863
test_13_24,test,13,24,surya,processed,4,4,0.5,0,15,0.6521739130434783,640,239,879
test_13_32,test,13,32,surya,processed,8,8,0.6666666666666666,0,14,0.5384615384615384,650,342,992
val_4_69,val,4,69,surya,processed,7,7,0.4666666666666667,0,13,0.4642857142857143,671,362,1033
val_4_149,val,4,149,surya,processed,11,11,0.7333333333333333,0,9,0.375,650,579,1229
val_4_155,val,4,155,surya,processed,3,3,0.21428571428571427,0,10,0.4166666666666667,647,156,803
val_4_189,val,4,189,surya,processed,8,8,0.5714285714285714,0,7,0.3333333333333333,633,468,1101
val_4_206,val,4,206,surya,processed,11,11,0.6875,0,9,0.36,671,621,1292
val_4_219,val,4,219,surya,processed,4,4,0.26666666666666666,0,7,0.3181818181818182,637,315,952
val_4_233,val,4,233,surya,processed,8,8,0.5,0,6,0.2727272727272727,636,336,972
val_4_238,val,4,238,surya,processed,7,7,0.3888888888888889,0,6,0.25,662,276,938
val_10_53,val,10,53,surya,processed,2,2,0.3333333333333333,1,19,0.76,636,131,767
val_10_89,val,10,89,surya,processed,1,1,0.125,0,15,0.6521739130434783,625,66,691
val_10_108,val,10,108,surya,processed,1,1,0.1111111111111111,1,13,0.5909090909090909,630,110,740
val_10_179,val,10,179,surya,processed,1,1,0.125,0,18,0.6923076923076923,644,68,712
val_10_350,val,10,350,surya,processed,1,1,0.09090909090909091,0,13,0.5416666666666666,635,55,690
val_10_386,val,10,386,surya,processed,6,6,0.42857142857142855,0,10,0.4166666666666667,653,368,1021
val_10_469,val,10,469,surya,processed,4,4,0.4,0,14,0.5833333333333334,639,274,913
val_10_480,val,10,480,surya,processed,3,3,0.2727272727272727,0,13,0.5416666666666666,648,198,846
