configuration,category,affected_words,word_rate
surya/raw,base_character_substitution,190,0.37109375
surya/raw,deletion,327,0.638671875
surya/raw,diacritic_or_vowel_sign_error,465,0.908203125
surya/raw,hallucinated_extra_text,22,0.04296875
surya/raw,insertion,114,0.22265625
surya/raw,missing_output,256,0.5
surya/raw,punctuation_or_digit_error,0,0.0
surya/raw,virama_or_conjunct_error,247,0.482421875
surya/raw,word_boundary_split_or_join,123,0.240234375
surya/processed,base_character_substitution,355,0.36940686784599375
surya/processed,deletion,592,0.6160249739854319
surya/processed,diacritic_or_vowel_sign_error,861,0.8959417273673257
surya/processed,hallucinated_extra_text,75,0.07804370447450572
surya/processed,insertion,253,0.26326742976066597
surya/processed,missing_output,483,0.5026014568158168
surya/processed,punctuation_or_digit_error,2,0.002081165452653486
surya/processed,virama_or_conjunct_error,499,0.5192507804370448
surya/processed,word_boundary_split_or_join,220,0.22892819979188345
tesseract/raw,base_character_substitution,160,0.16649323621227888
tesseract/raw,deletion,833,0.8668054110301769
tesseract/raw,diacritic_or_vowel_sign_error,912,0.9490114464099896
tesseract/raw,hallucinated_extra_text,9,0.009365244536940686
tesseract/raw,insertion,79,0.08220603537981269
tesseract/raw,missing_output,730,0.7596253902185224
tesseract/raw,punctuation_or_digit_error,2,0.002081165452653486
tesseract/raw,virama_or_conjunct_error,525,0.54630593132154
tesseract/raw,word_boundary_split_or_join,36,0.037460978147762745
tesseract/processed,base_character_substitution,507,0.5275754422476587
tesseract/processed,deletion,637,0.6628511966701353
tesseract/processed,diacritic_or_vowel_sign_error,894,0.9302809573361083
tesseract/processed,hallucinated_extra_text,41,0.04266389177939646
tesseract/processed,insertion,222,0.23100936524453694
tesseract/processed,missing_output,280,0.29136316337148804
tesseract/processed,punctuation_or_digit_error,20,0.02081165452653486
tesseract/processed,virama_or_conjunct_error,509,0.5296566077003122
tesseract/processed,word_boundary_split_or_join,301,0.31321540062434966
