feature,failure_mean,nonfailure_mean,standardized_mean_difference,absolute_association_rank_value,association_rank
mean_intensity,214.4761248907573,213.68914511894585,0.7057668996993599,0.7057668996993599,1
foreground_density,0.05390420185666783,0.05688057397372704,-0.4148026537873772,0.4148026537873772,2
diacritic_density,0.3860017707582291,0.39015297202165233,-0.2774100462904489,0.2774100462904489,3
contrast_std,23.127998362721893,22.486907026592686,0.27727240863819524,0.27727240863819524,4
conjunct_density,0.07432990064708629,0.07666913882198385,-0.21551342273921872,0.21551342273921872,5
height,292.8627536231884,292.6444512322773,0.13692244620869531,0.13692244620869531,6
reference_length,227.66666666666666,229.3783783783784,-0.13002664319647367,0.13002664319647367,7
width,1224.9488647342996,1218.288689416733,0.08845903431953651,0.08845903431953651,8
aspect_ratio,4.1829228917799925,4.160991450700854,0.08730127276333183,0.08730127276333183,9
blur_laplacian_variance,43.55725607617097,43.326535624289114,0.048269803496092695,0.048269803496092695,10
word_count,24.0,24.027027027027028,-0.017467625831142582,0.017467625831142582,11
